PropertyID,TaxYear,CondoMasterId
1519600,2019,1428255
1519602,2019,1428255
1519603,2019,1428255
1519604,2019,1428255
1519606,2019,1428255
1519611,2019,1428255
1519613,2019,1428255
1519716,2019,1428255
1519755,2019,1428255
1519756,2019,1428255
1519758,2019,1428255
1519760,2019,1428255
1519761,2019,1428255
1519762,2019,1428255
1519763,2019,1428255
1519764,2019,1428255
1519768,2019,1428255
1519769,2019,1428255
1519770,2019,1428255
1519772,2019,1428255
1519778,2019,1428255
1520104,2019,1520100
1520106,2019,1520100
1520107,2019,1520100
1520108,2019,1520100
1520381,2019,1520379
1520382,2019,1520379
1520383,2019,1520379
1520388,2019,1520379
1520389,2019,1520379
1520390,2019,1528156
1520392,2019,1528156
1520394,2019,1528156
1520395,2019,1528156
1520396,2019,1528156
1520397,2019,1528156
1520398,2019,1528156
1520399,2019,1528156
1520401,2019,1528156
1520403,2019,1528156
1520404,2019,1528156
1520405,2019,1528156
1520406,2019,1528156
1520407,2019,1528156
1520408,2019,1528156
1520409,2019,1528156
1520895,2019,1514480
1520898,2019,1514480
1520900,2019,1514480
1520902,2019,1514480
1520904,2019,1514480
1520905,2019,1514480
1520907,2019,1514480
1520910,2019,1514480
1520911,2019,1514480
1520916,2019,1514480
1520918,2019,1514480
1520920,2019,1514480
1520921,2019,1514480
1520923,2019,1514480
1520924,2019,1514480
1520925,2019,1514480
1526231,2019,1434664
1526232,2019,1434664
1526236,2019,596651
1526238,2019,596651
1526245,2019,596651
1526246,2019,596651
1526247,2019,596651
1526248,2019,596651
