PropertyID,TaxYear,LinkedProperty,LinkType,LinkTypeDesc,LinkedPropertyID
1572577,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572578,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572578,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572579,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572579,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572580,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572580,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572581,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572581,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572582,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572582,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572583,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572583,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572584,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572584,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572585,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572585,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572586,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572586,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572587,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572587,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572588,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572588,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572589,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572589,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572590,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572590,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572591,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572591,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572592,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572592,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572593,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572593,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572594,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572594,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572595,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572595,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572596,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572596,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572597,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572597,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572598,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572598,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572599,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572599,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572600,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572600,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572601,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572601,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572602,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572602,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572603,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572603,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572604,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572604,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572605,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572605,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572606,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572606,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572607,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572607,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572608,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
1572608,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572609,2019,06-0798-03-3-01-02-0000,127508,8 - Split,641068
1572609,2019,06-0798-03-3-01-02-6000,127508,8 - Split,641068
